Mean3,StDev3,Variance3,CVariation3,Q1_3,Median3,Q3_3,IQR3,Minimum3,Maximum3,Range3
88.2875,1.657738769,2.748097826,1.877659656,86.65,88.25,89.675,3.025,86.2,91.3,5.1
88.64166667,1.4285647,2.040797101,1.611617599,87.9,88.25,89.45,1.55,86.8,93.4,6.6
87.97083333,2.026665534,4.107373188,2.303792584,86.85,87.6,89.05,2.2,84.1,93.5,9.4
91.72083333,2.461526421,6.059112319,2.683715718,89.875,91.25,92.975,3.1,88.6,99.8,11.2
87.4125,1.747373806,3.053315217,1.998997633,86.125,86.7,88.675,2.55,85.7,92.5,6.8
85.73043478,1.843276426,3.397667984,2.150084076,84.9,85.2,86.3,1.4,83.3,91.9,8.6
90.175,1.537714283,2.364565217,1.705255651,89.4,89.95,90.475,1.075,87.7,94.6,6.9
88.875,0.940975442,0.885434783,1.058762804,88.2,88.85,89.4,1.2,86.7,90.5,3.8
90.61666667,1.286608845,1.655362319,1.419836871,89.625,90.5,90.8,1.175,89.2,95.5,6.3
88.73913043,2.292426093,5.255217391,2.583331707,86.9,88.6,89.9,3,85.7,93.5,7.8
87.19583333,1.706886096,2.913460145,1.95753172,85.7,87.2,88.35,2.65,84.5,91.2,6.7
91.25,1.975942263,3.904347826,2.165416178,90,90.8,91.95,1.95,88.1,95.8,7.7
86.975,1.065771817,1.135869565,1.225377197,86.225,86.65,87.75,1.525,85.5,89.4,3.9
86.875,1.801750357,3.246304348,2.073957245,85.325,86.5,88.375,3.05,84.2,90.6,6.4
89.49565217,2.097287916,4.398616601,2.343452296,87.6,89,92,4.4,86.4,92.7,6.3
88.28333333,1.538962572,2.368405797,1.743208501,87.175,88.3,89.4,2.225,85.2,91.2,6
90.50416667,1.728653451,2.988242754,1.910026372,89.1,89.95,91.85,2.75,88.5,94,5.5
85.53333333,2.282193199,5.208405797,2.668191581,83.675,85.25,86.55,2.875,82.4,90.5,8.1
86.47916667,0.972213596,0.945199275,1.124217118,85.625,86.45,87.275,1.65,85.1,88.1,3
87.92916667,1.912084946,3.656068841,2.17457417,86.15,88,89.125,2.975,84.8,92,7.2
87.09565217,2.219229649,4.924980237,2.548037237,85.1,87,88.8,3.7,84.2,91.9,7.7
86.4,2.023771769,4.095652174,2.342328437,84.8,86.3,86.975,2.175,83.2,91.2,8
86.075,2.390788482,5.715869565,2.777564312,84.1,85.25,88.525,4.425,83.1,91.3,8.2
85.89583333,1.395483138,1.947373188,1.62462262,84.775,85.65,86.55,1.775,84.2,89.9,5.7
87,1.568161482,2.459130435,1.802484462,85.75,86.65,88,2.25,84.5,91,6.5
85.42608696,1.510032327,2.280197628,1.767647777,84.1,85.4,86.7,2.6,82.6,88.5,5.9
87.36666667,1.865864217,3.481449275,2.135670603,86.1,86.85,88.575,2.475,84,91.9,7.9
86.84166667,1.523986953,2.322536232,1.75490293,85.9,86.3,87.675,1.775,85,90.6,5.6
87.76666667,1.600724474,2.562318841,1.823841026,86.725,87.1,88.875,2.15,85.4,91.5,6.1
84.41666667,1.827725283,3.34057971,2.165123731,83.125,83.85,85.55,2.425,81.6,89,7.4
88.17916667,1.718183866,2.952155797,1.94851452,86.95,87.7,89.55,2.6,85.7,91.9,6.2
91.40833333,2.001720275,4.006884058,2.189866286,89.625,91,93.45,3.825,88.1,94.6,6.5
90.87916667,2.176750503,4.738242754,2.395213978,89.45,90.3,92.325,2.875,88,97.6,9.6
88.63333333,1.578845662,2.492753623,1.781322672,87.825,88.3,89.2,1.375,85.9,93.5,7.6
90.31666667,1.776578702,3.156231884,1.967055215,88.725,90,91.575,2.85,88.3,94.2,5.9
89.22083333,1.892084006,3.579981884,2.12067511,87.675,88.65,90.775,3.1,86.3,93.8,7.5
91.9125,2.109463666,4.449836957,2.295078108,90.4,91.4,93,2.6,89.2,98.4,9.2
92.02608696,2.149253019,4.619288538,2.33548235,90.6,91.7,93.3,2.7,88.9,98.7,9.8
88.6375,1.364714495,1.862445652,1.539658152,87.825,88.4,89.175,1.35,86.4,93.1,6.7
94.52083333,2.097198787,4.398242754,2.218768829,92.8,94.45,95.6,2.8,91,99.7,8.7
90.44545455,2.330895449,5.433073593,2.577128348,88.8,90.5,91.95,3.15,85.5,94.8,9.3
91.94583333,1.72475056,2.974764493,1.8758333,90.875,92,93.325,2.45,88.6,95.8,7.2
90.0375,1.874035984,3.51201087,2.081394957,88.3,90.1,91,2.7,86.9,94.6,7.7
89.16666667,1.895914754,3.594492754,2.126259537,87.7,89.2,90.775,3.075,85.7,92.4,6.7
87.575,1.73136036,2.997608696,1.97700298,86.2,87.35,88.5,2.3,85.6,92.5,6.9
83.37083333,1.404489437,1.97259058,1.684629242,82.35,82.95,84.2,1.85,81.6,86.7,5.1
84.37083333,2.305283,5.31432971,2.732322189,82.575,83.5,85.85,3.275,82,91.6,9.6
84.17083333,1.539192099,2.369112319,1.828652561,82.825,84,85.2,2.375,81.9,87.9,6
86.47083333,2.134698669,4.556938406,2.468692143,84.625,85.65,88.8,4.175,84.1,90.5,6.4
85.37916667,1.596730128,2.549547101,1.870163636,83.95,85.7,86.475,2.525,82.2,88.3,6.1
93.6875,1.672361647,2.796793478,1.785042452,92.575,93.8,94.75,2.175,90.6,97.8,7.2
90.9875,1.743637502,3.040271739,1.916348402,89.525,91,92.3,2.775,88,94.1,6.1
88.35217391,2.225649969,4.953517787,2.519066448,86.5,88.4,89.1,2.6,85,92.8,7.8
83.6173913,1.540263311,2.372411067,1.84203703,82.2,83.5,85.1,2.9,81.5,86.2,4.7
84.4125,1.130337579,1.277663043,1.339064214,83.6,84.15,85.2,1.6,82.8,87.3,4.5
84.92608696,1.92240791,3.695652174,2.263624734,83.8,84.3,85.6,1.8,82.2,89.3,7.1
85.7375,1.69956836,2.888532609,1.982292882,84.425,85.95,86.5,2.075,82.8,89.5,6.7
88.03043478,1.366293853,1.866758893,1.552069868,86.9,88.3,89,2.1,85.7,91.5,5.8
90.05,1.751122089,3.066428571,1.944610871,88.65,90.25,91.375,2.725,86.5,93.4,6.9
89.86666667,1.825106707,3.331014493,2.03090509,88.5,89.85,90.85,2.35,86.6,94,7.4
86.18333333,1.3637119,1.859710145,1.582338309,85.325,86.05,87,1.675,83.5,90.4,6.9
84.43913043,1.222047139,1.493399209,1.44725216,83.6,84.4,85.1,1.5,81.8,86.8,5
92.4173913,2.151247455,4.627865613,2.327751763,90.5,92.8,94.2,3.7,88.5,96.1,7.6
90.91666667,2.274177666,5.171884058,2.501386984,89.625,90.75,91.975,2.35,87.4,97.6,10.2
92.02083333,2.352423203,5.533894928,2.556402847,90.3,91.2,93.2,2.9,88.7,99.1,10.4
87.74782609,2.154882314,4.643517787,2.45576718,86.2,87.4,88.7,2.5,84.6,93.6,9
91.96666667,1.713543663,2.936231884,1.86322254,90.45,91.15,93.9,3.45,89.9,94.7,4.8
92.13478261,2.036844417,4.148735178,2.210722551,90.7,91.7,93.5,2.8,89,96.9,7.9
93.61666667,2.010768113,4.043188406,2.147874075,92.175,93.9,95.15,2.975,89.5,97.9,8.4
93.2625,2.215913297,4.910271739,2.375996029,92.3,92.75,94.85,2.55,89,98.8,9.8
86.74166667,1.816809594,3.300797101,2.094506209,85.1,87,88.025,2.925,83.8,90.5,6.7
85.98333333,2.168082035,4.70057971,2.521514288,84.05,86,87.5,3.45,82.8,91.9,9.1
84.72173913,2.281537863,5.20541502,2.692978079,83.3,84.1,85.8,2.5,82.3,92.1,9.8
88.15833333,1.446409848,2.092101449,1.640695546,87.1,88,88.75,1.65,86.4,92.8,6.4
88.51304348,2.347010545,5.508458498,2.651598513,86.6,87.9,90.5,3.9,84.7,93,8.3
86.85416667,2.233145406,4.986938406,2.571143668,85.475,86.5,87.45,1.975,84.3,94.3,10
87.03913043,2.422946953,5.870671937,2.783744439,85.2,86.9,88.6,3.4,83.3,92.2,8.9
89.82727273,2.300348176,5.291601732,2.560857194,88.55,89.6,90.675,2.125,84.2,95.6,11.4
89.77083333,2.044606727,4.180416667,2.277584657,88.25,89,90.8,2.55,86.6,95,8.4
93.22916667,2.497734481,6.238677536,2.679134192,91.325,93.05,95.225,3.9,89,98.3,9.3
92.15,2.081805237,4.333913043,2.259148385,90.75,92.2,92.95,2.2,87.6,96.4,8.8
89.875,1.436556874,2.063695652,1.598394296,89,90.05,90.575,1.575,87.5,92.5,5
88.475,2.366661564,5.601086957,2.674949493,87.1,88,88.7,1.6,85.4,96.9,11.5
89.7375,2.017275929,4.069402174,2.247974291,87.925,89.25,91.15,3.225,87.3,94.1,6.8
91.19565217,2.493533138,6.21770751,2.734267565,89,90.8,92.7,3.7,88.1,97.3,9.2
91.3875,1.885946308,3.556793478,2.063680819,89.925,91.2,92.85,2.925,88.2,95.1,6.9
93.96666667,1.849951037,3.422318841,1.96873115,92.575,94.25,94.775,2.2,90.5,98,7.5
94.37272727,2.426477325,5.887792208,2.57116372,92.375,93.9,95.725,3.35,90.3,99.2,8.9
92.37391304,2.259569024,5.105652174,2.446111623,90.8,92,94,3.2,87.6,97.1,9.5
